,Id,Calories,hour,hour_cat
722,1624580081,50,5,2
723,1624580081,50,6,2
724,1624580081,50,7,2
725,1624580081,51,8,3
726,1624580081,74,9,3
727,1624580081,141,10,3
728,1624580081,56,11,3
729,1624580081,57,12,4
730,1624580081,54,13,4
731,1624580081,55,14,4
732,1624580081,52,15,4
733,1624580081,54,16,5
734,1624580081,63,17,5
735,1624580081,62,18,5
736,1624580081,77,19,5
737,1624580081,60,20,6
738,1624580081,50,21,6
739,1624580081,50,22,6
740,1624580081,70,23,6
741,1624580081,58,0,1
742,1624580081,51,1,1
743,1624580081,50,2,1
744,1624580081,50,3,1
745,1624580081,50,4,2
746,1624580081,50,5,2
747,1624580081,50,6,2
748,1624580081,50,7,2
749,1624580081,51,8,3
750,1624580081,90,9,3
751,1624580081,112,10,3
752,1624580081,68,11,3
753,1624580081,59,12,4
754,1624580081,50,13,4
755,1624580081,55,14,4
756,1624580081,50,15,4
757,1624580081,59,16,5
758,1624580081,56,17,5
759,1624580081,79,18,5
760,1624580081,52,19,5
761,1624580081,54,20,6
762,1624580081,66,21,6
763,1624580081,50,22,6
764,1624580081,52,23,6
765,1624580081,51,0,1
766,1624580081,50,1,1
767,1624580081,51,2,1
768,1624580081,50,3,1
769,1624580081,50,4,2
770,1624580081,50,5,2
771,1624580081,50,6,2
772,1624580081,51,7,2
773,1624580081,95,8,3
774,1624580081,118,9,3
775,1624580081,60,10,3
776,1624580081,78,11,3
777,1624580081,52,12,4
778,1624580081,50,13,4
779,1624580081,55,14,4
780,1624580081,54,15,4
781,1624580081,72,16,5
782,1624580081,127,17,5
783,1624580081,78,18,5
784,1624580081,86,19,5
785,1624580081,58,20,6
786,1624580081,74,21,6
787,1624580081,50,22,6
788,1624580081,65,23,6
789,1624580081,70,0,1
790,1624580081,53,1,1
791,1624580081,50,2,1
792,1624580081,50,3,1
793,1624580081,50,4,2
794,1624580081,50,5,2
795,1624580081,51,6,2
796,1624580081,51,7,2
797,1624580081,50,8,3
798,1624580081,50,9,3
799,1624580081,50,10,3
800,1624580081,86,11,3
801,1624580081,50,12,4
802,1624580081,50,13,4
803,1624580081,50,14,4
804,1624580081,50,15,4
805,1624580081,50,16,5
806,1624580081,51,17,5
807,1624580081,54,18,5
808,1624580081,89,19,5
809,1624580081,50,20,6
810,1624580081,54,21,6
811,1624580081,74,22,6
812,1624580081,63,23,6
813,1624580081,78,0,1
814,1624580081,50,1,1
815,1624580081,56,2,1
816,1624580081,50,3,1
817,1624580081,50,4,2
818,1624580081,50,5,2
819,1624580081,50,6,2
820,1624580081,50,7,2
821,1624580081,50,8,3
822,1624580081,50,9,3
823,1624580081,67,10,3
824,1624580081,61,11,3
825,1624580081,59,12,4
826,1624580081,50,13,4
827,1624580081,68,14,4
828,1624580081,56,15,4
829,1624580081,50,16,5
830,1624580081,56,17,5
831,1624580081,53,18,5
832,1624580081,90,19,5
833,1624580081,55,20,6
834,1624580081,94,21,6
835,1624580081,115,22,6
836,1624580081,58,23,6
837,1624580081,57,0,1
838,1624580081,51,1,1
839,1624580081,52,2,1
840,1624580081,50,3,1
841,1624580081,50,4,2
842,1624580081,51,5,2
843,1624580081,50,6,2
844,1624580081,50,7,2
845,1624580081,50,8,3
846,1624580081,52,9,3
847,1624580081,56,10,3
848,1624580081,52,11,3
849,1624580081,78,12,4
850,1624580081,122,13,4
851,1624580081,80,14,4
852,1624580081,56,15,4
853,1624580081,50,16,5
854,1624580081,129,17,5
855,1624580081,73,18,5
856,1624580081,91,19,5
857,1624580081,79,20,6
858,1624580081,63,21,6
859,1624580081,58,22,6
860,1624580081,55,23,6
861,1624580081,54,0,1
862,1624580081,55,1,1
863,1624580081,51,2,1
864,1624580081,50,3,1
865,1624580081,50,4,2
866,1624580081,50,5,2
867,1624580081,50,6,2
868,1624580081,63,7,2
869,1624580081,120,8,3
870,1624580081,57,9,3
871,1624580081,78,10,3
872,1624580081,68,11,3
873,1624580081,51,12,4
874,1624580081,50,13,4
875,1624580081,50,14,4
876,1624580081,90,15,4
877,1624580081,166,16,5
878,1624580081,61,17,5
879,1624580081,72,18,5
880,1624580081,62,19,5
881,1624580081,66,20,6
882,1624580081,65,21,6
883,1624580081,62,22,6
884,1624580081,63,23,6
885,1624580081,52,0,1
886,1624580081,50,1,1
887,1624580081,50,2,1
888,1624580081,50,3,1
889,1624580081,50,4,2
890,1624580081,60,5,2
891,1624580081,77,6,2
892,1624580081,54,7,2
893,1624580081,66,8,3
894,1624580081,51,9,3
895,1624580081,50,10,3
896,1624580081,64,11,3
897,1624580081,109,12,4
898,1624580081,70,13,4
899,1624580081,71,14,4
900,1624580081,50,15,4
901,1624580081,53,16,5
902,1624580081,52,17,5
903,1624580081,80,18,5
904,1624580081,59,19,5
905,1624580081,55,20,6
906,1624580081,55,21,6
907,1624580081,59,22,6
908,1624580081,51,23,6
909,1624580081,60,0,1
910,1624580081,50,1,1
911,1624580081,50,2,1
912,1624580081,50,3,1
913,1624580081,50,4,2
914,1624580081,50,5,2
915,1624580081,50,6,2
916,1624580081,50,7,2
917,1624580081,51,8,3
918,1624580081,117,9,3
919,1624580081,59,10,3
920,1624580081,60,11,3
921,1624580081,75,12,4
922,1624580081,54,13,4
923,1624580081,54,14,4
924,1624580081,59,15,4
925,1624580081,69,16,5
926,1624580081,68,17,5
927,1624580081,82,18,5
928,1624580081,56,19,5
929,1624580081,52,20,6
930,1624580081,55,21,6
931,1624580081,71,22,6
932,1624580081,56,23,6
933,1624580081,51,0,1
934,1624580081,50,1,1
935,1624580081,52,2,1
936,1624580081,54,3,1
937,1624580081,50,4,2
938,1624580081,50,5,2
939,1624580081,51,6,2
940,1624580081,50,7,2
941,1624580081,51,8,3
942,1624580081,61,9,3
943,1624580081,62,10,3
944,1624580081,78,11,3
945,1624580081,51,12,4
946,1624580081,50,13,4
947,1624580081,68,14,4
948,1624580081,55,15,4
949,1624580081,54,16,5
950,1624580081,64,17,5
951,1624580081,97,18,5
952,1624580081,124,19,5
953,1624580081,60,20,6
954,1624580081,68,21,6
955,1624580081,65,22,6
956,1624580081,52,23,6
957,1624580081,51,0,1
958,1624580081,50,1,1
959,1624580081,50,2,1
960,1624580081,54,3,1
961,1624580081,50,4,2
962,1624580081,50,5,2
963,1624580081,50,6,2
964,1624580081,70,7,2
965,1624580081,52,8,3
966,1624580081,53,9,3
967,1624580081,63,10,3
968,1624580081,68,11,3
969,1624580081,56,12,4
970,1624580081,60,13,4
971,1624580081,51,14,4
972,1624580081,53,15,4
973,1624580081,55,16,5
974,1624580081,57,17,5
975,1624580081,51,18,5
976,1624580081,96,19,5
977,1624580081,91,20,6
978,1624580081,76,21,6
979,1624580081,88,22,6
980,1624580081,76,23,6
981,1624580081,68,0,1
982,1624580081,55,1,1
983,1624580081,50,2,1
984,1624580081,50,3,1
985,1624580081,50,4,2
986,1624580081,50,5,2
987,1624580081,50,6,2
988,1624580081,50,7,2
